timestamp,frame_number,fps,inference_ms,detection_count,average_confidence,brightness
2026-07-24T20:18:48,6046,15.354,22.93,1,0.6655,55.081
2026-07-24T20:18:48,6047,14.23,24.089,1,0.5314,53.363
2026-07-24T20:18:48,6048,17.722,23.0,2,0.6984,54.851
2026-07-24T20:18:48,6049,12.482,24.605,2,0.6615,56.206
2026-07-24T20:18:48,6050,16.603,23.449,0,0.0,57.321
2026-07-24T20:18:49,6051,14.305,23.699,1,0.5224,57.661
2026-07-24T20:18:49,6052,15.526,23.12,1,0.5855,56.995
2026-07-24T20:18:49,6053,13.972,23.536,1,0.4426,56.511
2026-07-24T20:18:49,6054,15.727,22.857,2,0.4838,56.614
2026-07-24T20:18:49,6055,15.075,22.486,1,0.496,56.705
2026-07-24T20:18:49,6056,14.82,24.567,1,0.7643,56.859
2026-07-24T20:18:49,6057,13.609,24.074,1,0.7264,57.105
2026-07-24T20:18:49,6058,15.435,24.12,1,0.5799,57.398
2026-07-24T20:18:49,6059,15.467,23.128,2,0.4667,57.625
2026-07-24T20:18:49,6060,15.238,23.029,1,0.5405,57.818
2026-07-24T20:18:49,6061,14.933,23.698,1,0.55,57.906
2026-07-24T20:18:49,6062,14.88,23.326,2,0.4942,57.981
2026-07-24T20:18:49,6063,14.328,23.861,1,0.6504,58.052
2026-07-24T20:18:49,6064,16.86,22.865,1,0.5763,58.171
2026-07-24T20:18:49,6065,13.1,23.932,1,0.5416,58.325
2026-07-24T20:18:50,6066,15.734,23.844,1,0.4524,58.568
2026-07-24T20:18:50,6067,15.237,23.411,1,0.5779,58.766
2026-07-24T20:18:50,6068,14.073,24.219,1,0.6276,58.846
2026-07-24T20:18:50,6069,15.741,23.243,1,0.6337,58.869
2026-07-24T20:18:50,6070,14.83,23.329,1,0.6046,58.871
2026-07-24T20:18:50,6071,15.55,24.251,1,0.5152,58.909
2026-07-24T20:18:50,6072,13.331,24.882,1,0.5228,59.002
2026-07-24T20:18:50,6073,16.327,23.431,1,0.5045,59.028
2026-07-24T20:18:50,6074,14.666,22.924,2,0.4673,59.101
2026-07-24T20:18:50,6075,15.152,23.378,2,0.4857,59.057
2026-07-24T20:18:50,6076,14.712,24.565,2,0.4726,58.976
2026-07-24T20:18:50,6077,15.238,22.905,2,0.4506,59.001
2026-07-24T20:18:50,6078,14.617,23.043,0,0.0,59.065
2026-07-24T20:18:50,6079,15.692,24.126,1,0.5635,59.259
2026-07-24T20:18:50,6080,13.764,23.487,1,0.4883,59.418
2026-07-24T20:18:51,6081,15.657,23.583,1,0.5911,59.501
2026-07-24T20:18:51,6082,15.015,24.041,1,0.5386,59.503
2026-07-24T20:18:51,6083,14.703,23.43,1,0.5848,59.344
2026-07-24T20:18:51,6084,14.696,23.777,1,0.6212,59.209
